FFMC,DMC,DC
88.6,91.8,709.9
92.9,133.3,699.6
90.1,39.7,86.6
90.2,99.6,631.2
93.3,141.2,713.9
87.6,52.2,103.8
88.3,150.3,309.9
90.1,82.9,735.7
93.5,149.3,728.6
91.7,48.5,696.1
92.2,81.8,480.8
93.5,149.3,728.6
92.2,81.8,480.8
92.9,133.3,699.6
93.5,149.3,728.6
91,129.5,692.6
84.4,73.4,671.9
92.5,121.1,674.4
91.4,142.4,601.4
92.5,121.1,674.4
91,129.5,692.6
92.5,121.1,674.4
81.9,3,7.9
88,17.2,43.5
83,23.3,85.3
94.2,122.3,589.9
91.8,175.1,700.7
91.8,175.1,700.7
91.8,175.1,700.7
91.8,175.1,700.7
92.2,91.6,503.6
93.1,157.3,666.7
93.1,157.3,666.7
93.1,157.3,666.7
93.1,157.3,666.7
93.1,157.3,666.7
91.9,109.2,565.5
91.6,138.1,621.7
87.5,77,694.8
94.2,117.2,581.1
94.2,117.2,581.1
91.8,170.9,692.3
91.8,170.9,692.3
93.6,97.9,542
91.6,112.4,573
91.6,112.4,573
91.1,141.1,629.1
94.3,167.6,684.4
93.7,102.2,550.3
94.3,131.7,607.1
92.1,152.6,658.2
92.1,152.6,658.2
92.1,152.6,658.2
92.1,152.6,658.2
92.1,152.6,658.2
92.1,152.6,658.2
84.4,27.2,353.5
84,27.8,354.6
84.6,26.4,352
85.4,25.4,349.7
85.4,25.4,349.7
85.4,25.4,349.7
85.4,25.4,349.7
84.7,26.7,352.6
85.4,25.4,349.7
84.9,27.5,353.5
86.9,6.6,18.7
85.2,4.9,15.8
93.9,169.7,411.8
91.2,183.1,437.7
91.6,104.2,474.9
91.6,104.2,474.9
91.6,104.2,474.9
91.6,104.2,474.9
91.6,104.2,474.9
91.6,100.2,466.3
93.1,180.4,430.8
92.3,88.8,440.9
93.1,180.4,430.8
90.4,89.5,290.8
90.4,89.5,290.8
91.2,147.8,377.2
53.4,71,233.8
90.4,93.3,298.1
90.4,93.3,298.1
91.1,94.1,232.1
91.1,94.1,232.1
85.1,28,113.8
89.6,84.1,714.3
89.6,84.1,714.3
89.6,84.1,714.3
92.4,105.8,758.1
92.4,105.8,758.1
92.4,105.8,758.1
92.4,105.8,758.1
50.4,46.2,706.6
92.6,115.4,777.1
92.6,115.4,777.1
91.2,134.7,817.5
92.4,96.2,739.4
92.4,96.2,739.4
92.8,119,783.5
92.8,119,783.5
92.8,119,783.5
92.8,119,783.5
92.8,119,783.5
90.7,136.9,822.8
88.1,53.3,726.9
92.2,102.3,751.5
92.2,102.3,751.5
92.2,102.3,751.5
92.2,102.3,751.5
92.2,102.3,751.5
92.2,102.3,751.5
91.2,124.4,795.3
91.2,124.4,795.3
92.1,87.7,721.1
91.6,108.4,764
91.6,108.4,764
91.6,108.4,764
91.6,108.4,764
91.6,108.4,764
91.6,108.4,764
91.6,108.4,764
91.9,111.7,770.3
91.5,130.1,807.1
91.5,130.1,807.1
91.5,130.1,807.1
91.5,130.1,807.1
91.5,130.1,807.1
92.1,99,745.3
92.1,99,745.3
92.1,99,745.3
92.1,99,745.3
92.1,99,745.3
92.1,99,745.3
92.1,99,745.3
92.1,99,745.3
92.1,99,745.3
92.1,99,745.3
92.5,122,789.7
92.5,122,789.7
92.5,122,789.7
92.5,122,789.7
92.5,122,789.7
88.2,55.2,732.3
91.9,111.7,770.3
91.9,111.7,770.3
91.9,111.7,770.3
91.1,132.3,812.1
91.1,132.3,812.1
91.2,94.3,744.4
91,276.3,825.1
91,276.3,825.1
91.9,133.6,520.5
92,203.2,664.5
94.8,222.4,698.6
90.3,290,855.3
91.2,94.3,744.4
92.1,207,672.6
93.7,231.1,715.1
90.9,18.9,30.6
18.7,1.1,171.4
93.7,101.3,458.8
90.7,194.1,643
95.2,217.7,690
91.6,248.4,753.8
91.6,273.8,819.1
91.6,181.3,613
90.5,96.7,750.5
90.9,18.9,30.6
94.8,227,706.7
94.8,227,706.7
84.7,9.5,58.3
91.1,91.3,738.1
91,276.3,825.1
93.4,15,25.6
84.1,4.6,46.7
85,9,56.9
90.5,96.7,750.5
91.6,181.3,613
93.7,231.1,715.1
93.3,49.5,297.7
93.3,49.5,297.7
91.1,88.2,731.7
94.8,227,706.7
90.7,194.1,643
87.9,84.8,725.1
94.6,212.1,680.9
87.1,291.3,860.6
84.7,8.2,55
90.3,290,855.3
92.3,96.2,450.2
84.1,7.3,52.8
84.6,3.2,43.6
92.3,92.1,442.1
93.7,231.1,715.1
93.6,235.1,723.1
94.8,222.4,698.6
92.7,164.1,575.8
93.4,17.3,28.3
92,203.2,664.5
91.6,181.3,613
91.7,191.4,635.9
95.2,217.7,690
88.9,263.1,795.9
91.2,94.3,744.4
93.7,231.1,715.1
91.6,248.4,753.8
91.6,248.4,753.8
92.1,207,672.6
94.8,222.4,698.6
91.6,181.3,613
89.7,287.2,849.3
92.1,178,605.3
94.8,222.4,698.6
93.6,235.1,723.1
90.6,269.8,811.2
90.8,84.7,376.6
92.1,207,672.6
89.4,253.6,768.4
93.7,231.1,715.1
91.1,91.3,738.1
90.3,290,855.3
92.1,207,672.6
87.9,24.9,41.6
90.7,80.9,368.3
90.3,290,855.3
94,47.9,100.7
92,203.2,664.5
93.4,17.3,28.3
89.7,284.9,844
91.6,181.3,613
95.2,217.7,690
90.5,196.8,649.9
91.5,238.2,730.6
89.4,266.2,803.3
91.6,248.4,753.8
94.6,160,567.2
91.6,248.4,753.8
91.7,191.4,635.9
93.7,231.1,715.1
91.6,273.8,819.1
93.7,231.1,715.1
93.7,231.1,715.1
91,276.3,825.1
75.1,4.4,16.2
75.1,4.4,16.2
79.5,3.6,15.3
87.2,15.1,36.9
90.2,18.5,41.1
91.3,20.6,43.5
91,14.6,25.6
91,14.6,25.6
89.6,25.4,73.7
88.2,96.2,229
90.5,61.1,252.6
93,103.8,316.7
93.7,121.7,350.2
93.5,85.3,395
93.7,101.3,423.4
93.7,101.3,423.4
89.2,103.9,431.6
93.2,114.4,560
93.2,114.4,560
94.9,130.3,587.1
94.9,130.3,587.1
94.9,130.3,587.1
95,135.5,596.3
95.1,141.3,605.8
95.1,141.3,605.8
95.1,141.3,605.8
95.1,141.3,605.8
95.1,141.3,605.8
95.8,152,624.1
95.9,158,633.6
95.9,158,633.6
96,164,643
96.2,175.5,661.8
96.2,175.5,661.8
96.1,181.1,671.2
96.1,181.1,671.2
96.1,181.1,671.2
96.1,181.1,671.2
96.1,181.1,671.2
96.1,181.1,671.2
94.5,139.4,689.1
94.5,139.4,689.1
91,163.2,744.4
91,166.9,752.6
91,166.9,752.6
91,166.9,752.6
91,166.9,752.6
91,166.9,752.6
81.6,56.7,665.6
81.6,56.7,665.6
81.6,56.7,665.6
81.6,56.7,665.6
94.4,146,614.7
79.5,3,106.7
